,input,A,B
1822,그는 어젯밤에 집에 돌아왔다,그는 늦잠을 자서 지각했다,그는 어젯밤에 집에 돌아왔다. 그는 피곤한 사람으로 보인다
1823,그는 연필을 달라고 했다,그는 쓰기를 좋아한다,그는 연필을 달라고 했다. 그는 필요한 사람으로 보인다
1824,그는 산을 올랐다,그는 능력이 있다,그는 씩씩한 사람으로 보인다
1825,그는 곧 시작했다,그는 빠르다,그는 곧 시작했다. 그는 열정적인 사람으로 보인다
1826,그는 현장 학습을 떠났다,그는 모험심이 강하다,그는 현장 학습을 떠났다. 그는 모험심이 강한 사람으로 보인다
1827,그는 매일 밤 잠을 잤다,그는 건강하다,그는 매일 밤 잠을 잤다. 그는 규칙적인 사람으로 보인다
1828,그는 새 드레스를 구입했다,그는 쇼핑을 좋아한다,그는 새 드레스를 구입했다. 그는 행복한 사람으로 보인다
1829,그는 체온을 확인했다,그는 신경질적이다,그는 체온을 확인했다. 그는 건강한 사람으로 보인다
1830,그는 무기가 통과하는 것을 막았다,그는 용감하다,그는 무기가 통과하는 것을 막았다. 그는 용감한 사람으로 보인다
1831,그는 자신의 십자가를 졌다,그는 희생적이다,그는 자신의 십자가를 졌다. 그는 희생적인 사람으로 보인다
1832,그는 비명 소리를 들었다,그는 놀랐다,그는 비명 소리를 들었다. 그는 놀란 사람으로 보인다
1833,그는 숨을 골랐다,그는 죽다,그는 숨을 골랐다. 그는 피곤한 사람으로 보인다
1834,그는 코스튬 콘테스트에서 우승했다,그는 창의적이고 재능있다,그는 코스튬 콘테스트에서 우승했다. 그는 창의적인 사람으로 보인다
1835,그는 그녀에게 갔다,그는 사랑스럽다,그는 그녀에게 갔다. 그는 사랑에 빠진 사람으로 보인다
1836,그는 어쨌든 일했다,그는 성실하다,그는 어쨌든 일했다. 그는 성실한 사람으로 보인다
1837,그는 속도를 빨리했다,그는 성급하다,그는 속도를 빨리했다. 그는 운전실수를 하는 사람으로 보인다
1838,그는 블록을 서로 연결했다,그는 창의적이다,그는 능숙한 사람으로 보인다
1839,그는 샌드위치를 주문했다,그는 배고프다,그는 샌드위치를 주문했다. 그는 배고픈 사람으로 보인다
1840,그는 월급을 받았다,그는 기쁘다,그는 월급을 받았다. 그는 기쁜 사람으로 보인다
1841,그는 그녀를 다시 쳐다봤다,그는 호감을 가지다,그는 그녀를 다시 쳐다봤다. 그는 호감을 가진 사람으로 보인다
1842,그는 그녀의 방으로 갔다,그는 호의적이다,그는 그녀의 방으로 갔다. 그는 호기심 많은 사람으로 보인다
1843,그는 더 건강하게 먹었다,그는 건강을 중시한다,그는 더 건강하게 먹었다. 그는 신경 쓰는 사람으로 보인다
1844,그는 다음 날 아침에 일어났다,그는 생존하고 있다,그는 다음 날 아침에 일어났다. 그는 상쾌한 사람으로 보인다
1845,그는 자신의 휴대폰을 두고 갔다,그는 부주의하다,그는 자신의 휴대폰을 두고 갔다. 그는 분실하기 쉬운 사람으로 보인다
1846,그는 마침내 잠이 들었다,그는 피곤하다,그는 마침내 잠이 들었다. 그는 피곤한 사람으로 보인다
1847,그는 테이크아웃을 주문했다,그는 게으르다,그는 편리함을 좋아하는 사람으로 보인다
1848,그는 말에서 떨어졌다,그는 겁이 많다,그는 말에서 떨어졌다. 그는 자신감 없는 사람으로 보인다
1849,그는 귀에 염증이 있었다,그는 불편하다,그는 귀에 염증이 있었다. 그는 아픈 사람으로 보인다
1850,그는 목표물을 명중시켰다,그는 명중률이 높다,그는 목표물을 명중시켰다. 그는 정확한 사람으로 보인다
1851,그는 장난감을 살았다,그는 어린이다,그는 장난감을 살았다. 그는 아이 같은 사람으로 보인다
1852,그는 베이스 기타를 연주했다,그는 음악적이다,그는 베이스 기타를 연주했다. 그는 재능 있는 사람으로 보인다
1853,그는 숨바꼭질 놀이를 했다,그는 유쾌하다,그는 숨바꼭질 놀이를 했다. 그는 재미있는 사람으로 보인다
1854,그는 두통을 앓았다,그는 고통스럽다,그는 두통을 앓았다. 그는 고통받는 사람으로 보인다
1855,그는 말이 많았다,그는 소곤거리다,그는 말이 많았다. 그는 활발한 사람으로 보인다
1856,그는 충분한 휴식을 취했다,그는 피곤하지 않다,그는 충분한 휴식을 취했다. 그는 신선한 사람으로 보인다
1857,그는 나쁜 리뷰를 남겼다,그는 심술궂다,그는 나쁜 리뷰를 남겼다. 그는 신중하지 않은 사람으로 보인다
1858,그는 자신을 선택했다,그는 자신에게 확신이 있다,그는 자신을 선택했다. 그는 결단력 있는 사람으로 보인다
1859,그는 아마존에서 영화를 주문했다,그는 편리함을 추구하는 사람으로 보인다,그는 아마존에서 영화를 주문했다. 그는 영화광으로 보인다
1860,그는 손가락을 깨물었다,그는 긴장되어 있다,그는 손가락을 깨물었다. 그는 긴장한 사람으로 보인다
1861,그는 공을 쳤다,그는 운동을 좋아하는 사람으로 보인다,그는 공을 쳤다. 그는 자신감 넘치는 사람으로 보인다
1862,그는 면허를 갱신했다,그는 책임감이 있다,그는 면허를 갱신했다. 그는 책임감 있는 사람으로 보인다
1863,그는 여자친구가 생겼다,그는 행복해 보인다,그는 여자친구가 생겼다. 그는 행복한 사람으로 보인다
1864,그는 훨씬 나아졌다,그는 발전했다,그는 훨씬 나아졌다. 그는 건강한 사람으로 보인다
1865,그는 학교 가는 버스를 놓쳤다,그는 답답하다,그는 학교 가는 버스를 놓쳤다. 그는 서둘러야 하는 사람으로 보인다
1866,그는 새 소파를 필요로 했다,그는 소비욕이 강하다,그는 새 소파를 필요로 했다. 그는 편안함을 추구하는 사람으로 보인다
1867,그는 레스토랑을 열었다,그는 창의적이다,그는 레스토랑을 열었다. 그는 창의적인 사람으로 보인다
1868,그는 멋진 휴가를 보내고 있었다,그는 행복해 보인다,그는 멋진 휴가를 보내고 있었다. 그는 행복한 사람으로 보인다
1869,그는 웃겨 보였다,그는 유머 감각이 있다,그는 웃겨 보였다. 그는 유머러스한 사람으로 보인다
1870,그는 배고팠다,그는 식욕이 강하다,그는 배고팠다. 그는 굶주린 사람으로 보인다
1871,그는 양손을 모두 사용했다,그는 솜씨가 좋다,그는 양손을 모두 사용했다. 그는 능숙한 사람으로 보인다
1872,그는 거의 다 왔다,그는 성공에 가깝다,그는 거의 다 왔다. 그는 피곤한 사람으로 보인다
1873,그는 감기가 심했다,그는 아프다,그는 감기가 심했다. 그는 아픈 사람으로 보인다
1874,그는 헤어스타일을 바꿨다,그는 변화를 추구한다,그는 특별한 사람으로 보인다
1875,그는 기분이 매우 좋았다,그는 기쁘다,그는 기분이 매우 좋았다. 그는 환한 사람으로 보인다
1876,그는 정말 좋아했다,그는 열정적이다,그는 정말 좋아했다. 그는 행복한 사람으로 보인다
1877,그는 이메일을 받았다,그는 연락을 기다리고 있다,그는 이메일을 받았다. 그는 기쁜 사람으로 보인다
1878,그는 귀를 쫑긋 세웠다,그는 호기심이 많다,그는 귀를 쫑긋 세웠다. 그는 경계심이 많은 사람으로 보인다
1879,그는 단편 소설을 쓰고 있었다,그는 창의력이 풍부하다,그는 단편 소설을 쓰고 있었다. 그는 창의적인 사람으로 보인다
1880,그는 밖에 나가서 놀았다,그는 활발하다,그는 밖에 나가서 놀았다. 그는 즐거운 사람으로 보인다
1881,그는 내일 수학 시험이 있었다,그는 걱정스러워 보인다,그는 내일 수학 시험이 있었다. 그는 걱정스러운 사람으로 보인다
1882,그는 길 잃은 개를 발견했다,그는 친절하다,그는 길 잃은 개를 발견했다. 그는 친절한 사람으로 보인다
1883,그는 휴대폰을 꺼내었다,그는 연락을 기다리고 있다,그는 휴대폰을 꺼내었다. 그는 분주한 사람으로 보인다
1884,그는 친구에게 가르쳐 달라고 부탁했다,그는 배우려고 노력하는 사람으로 보인다,그는 친구에게 가르쳐 달라고 부탁했다. 그는 배우려는 사람으로 보인다
1885,그는 전화를 걸었다,그는 소통을 중요시한다,그는 전화를 걸었다. 그는 사교적인 사람으로 보인다
1886,그는 그녀를 닮았다,그는 유사한 점이 있다,그는 그녀를 닮았다. 그는 사랑에 빠진 사람으로 보인다
1887,그는 드디어 시작했다,그는 결심이 강하다,그는 드디어 시작했다. 그는 결단력 있는 사람으로 보인다
1888,그는 주차할 장소를 찾았다,그는 귀찮다,그는 주차할 장소를 찾았다. 그는 만족한 사람으로 보인다
1889,그는 체력을 회복했다,그는 건강하다,그는 체력을 회복했다. 그는 활기찬 사람으로 보인다
1890,그는 친구들에게 자랑했다,그는 자부심이 강하다,그는 친구들에게 자랑했다. 그는 자부심이 강한 사람으로 보인다
1891,그는 마침내 확인했다,그는 확신이 있다,그는 마침내 확인했다. 그는 확신하는 사람으로 보인다
1892,그는 최근에 구입했다,그는 소비적이다,그는 최근에 구입했다. 그는 부유한 사람으로 보인다
1893,그는 반지를 찾았다,그는 감동적이다,그는 반지를 찾았다. 그는 운이 좋은 사람으로 보인다
1894,그는 팔을 심하게 다쳤다,그는 아픔을 겪고 있다,그는 팔을 심하게 다쳤다. 그는 고통 받는 사람으로 보인다
1895,그는 시리얼 한 그릇을 먹었다,그는 식욕이 강하다,그는 시리얼 한 그릇을 먹었다. 그는 배고픈 사람으로 보인다
1896,그는 타이어를 교체했다,그는 숙련된 정비사다,그는 타이어를 교체했다. 그는 능숙한 사람으로 보인다
1897,그는 공과금 납부에 어려움을 겪고 있었다,그는 경제적으로 어려움을 겪고 있다,그는 공과금 납부에 어려움을 겪고 있었다. 그는 가난한 사람으로 보인다
1898,그는 그것을 온라인에 게시했다,그는 충동적이다,그는 그것을 온라인에 게시했다. 그는 자신감 넘치는 사람으로 보인다
1899,그는 문자를 보내었다,그는 소통을 중요시한다,그는 문자를 보내었다. 그는 소통을 좋아하는 사람으로 보인다
1900,그는 스스로에게 친절했다,그는 자기를 이해하고 배려하는 사람으로 보인다,그는 스스로에게 친절했다. 그는 자비로운 사람으로 보인다
1901,그는 첫날을 멋지게 보내었다,그는 자신감 있다,그는 첫날을 멋지게 보내었다. 그는 자신감 있는 사람으로 보인다
1902,그는 칙령을 내렸다,그는 권위주의적이다,그는 칙령을 내렸다. 그는 권위 있는 사람으로 보인다
1903,그는 내 얼굴을 핥았다,그는 증오스럽다,그는 내 얼굴을 핥았다. 그는 무례한 사람으로 보인다
1904,그는 팔로 그녀를 감쌌다,그는 보호자다,그는 팔로 그녀를 감쌌다. 그는 보호본능이 강한 사람으로 보인다
1905,그는 집안 곳곳을 뛰어다녔다,그는 활동적이다,그는 집안 곳곳을 뛰어다녔다. 그는 초조한 사람으로 보인다
1906,그는 결국 매우 즐거워했다,그는 만족스럽다,그는 결국 매우 즐거워했다. 그는 행복한 사람으로 보인다
1907,그는 곧 집에 돌아왔다,그는 빠르다,그는 곧 집에 돌아왔다. 그는 빠른 사람으로 보인다
1908,그는 청바지를 입은 채로 사정했다,그는 캐주얼하다,그는 청바지를 입은 채로 사정했다. 그는 캐주얼한 사람으로 보인다
1909,그는 스스로를 구석에 몰아넣었다,그는 자책하는 경향이 있다,그는 스스로를 구석에 몰아넣었다. 그는 자책하는 사람으로 보인다
1910,그는 점점 더 아파갔았다,그는 고통스럽다,그는 점점 더 아파갔았다. 그는 고통받는 사람으로 보인다
1911,그는 소포를 우편으로 보내었다,그는 믿을 만하고 신뢰할 만한 사람으로 보인다,그는 소포를 우편으로 보내었다. 그는 신중한 사람으로 보인다
1912,그는 가장 친한 친구를 초대했다,그는 친근하다,그는 가장 친한 친구를 초대했다. 그는 사교적인 사람으로 보인다
1913,그는 혼자서 놀 수 있었다,그는 독립적이다,그는 혼자서 놀 수 있었다. 그는 독립적인 사람으로 보인다
1914,그는 자동차 열쇠를 분실했다,그는 당황스럽다,그는 자동차 열쇠를 분실했다. 그는 답답한 사람으로 보인다
1915,그는 함께 시청했다,그는 사교적이다,그는 함께 시청했다. 그는 관심이 있는 사람으로 보인다
1916,그는 고양이를 동물병원에 데려갔다,그는 동물을 사랑하는 사람으로 보인다,그는 고양이를 동물병원에 데려갔다. 그는 배려심 있는 사람으로 보인다
1917,그는 학위를 받았다,그는 똑똑하다,그는 학위를 받았다. 그는 뛰어난 사람으로 보인다
1918,그는 즐거운 하루였다,그는 즐거운 사람이다,그는 즐거운 하루였다. 그는 행복한 사람으로 보인다
1919,그는 새 TV를 구입했다,그는 사치스럽다,그는 즐거운 사람으로 보인다
1920,그는 지갑을 두고 나갔다,그는 부주의하다,그는 지갑을 두고 나갔다. 그는 부주의한 사람으로 보인다
1921,그는 첫 발을 내딜었다,그는 용감하다,그는 첫 발을 내딜었다. 그는 용감한 사람으로 보인다
1922,그는 옷을 입었다,그는 평범하다,그는 옷을 입었다. 그는 세련된 사람으로 보인다
1923,그는 샐러드를 주문했다,그는 건강을 중시한다,그는 샐러드를 주문했다. 그는 건강을 중시하는 사람으로 보인다
1924,그는 어느 날 지루함을 느꼈다,그는 지루하다,그는 어느 날 지루함을 느꼈다. 그는 심심한 사람으로 보인다
1925,그는 이메일 버튼을 클릭했다,그는 기술에 능통하다,그는 이메일 버튼을 클릭했다. 그는 통신이 능숙한 사람으로 보인다
1926,그는 당일치기 여행을 떠났다,그는 즉흥적이다,그는 당일치기 여행을 떠났다. 그는 적극적인 사람으로 보인다
1927,그는 눈을 가늘게 떴다,그는 의심스럽다,그는 눈을 가늘게 떴다. 그는 의심스러운 사람으로 보인다
1928,그는 총알을 피했다,그는 운이 좋다,그는 총알을 피했다. 그는 민첩한 사람으로 보인다
1929,그는 새 양말을 구입했다,그는 깔끔하다,그는 새 양말을 구입했다. 그는 만족한 사람으로 보인다
1930,그는 대화 상대가 필요했다,그는 외로움을 느끼다,그는 대화 상대가 필요했다. 그는 외로운 사람으로 보인다
1931,그는 정신이 팔려있었다,그는 산만하다,그는 정신이 팔려있었다. 그는 산만한 사람으로 보인다
1932,그는 내 지갑을 잊어버렸다,그는 부주의하다,그는 내 지갑을 잊어버렸다. 그는 부주의한 사람으로 보인다
1933,그는 어린 아들이 있었다,그는 책임감이 있다,그는 어린 아들이 있었다. 그는 책임감 있는 사람으로 보인다
1934,그는 새 TV를 원했다,그는 소비욕이 강하다,그는 새 TV를 원했다. 그는 사치스러운 사람으로 보인다
1935,그는 바비큐 파티를 준비했다,그는 사교적이다,그는 바비큐 파티를 준비했다. 그는 활기찬 사람으로 보인다
1936,그는 첫 소설을 썼다,그는 창의적이다,그는 첫 소설을 썼다. 그는 창의적인 사람으로 보인다
1937,그는 일찍 잠자리에 들었다,그는 조용하다,그는 일찍 잠자리에 들었다. 그는 피곤한 사람으로 보인다
1938,그는 요리를 끝내었다,그는 요리에 능숙하다,그는 요리를 끝내었다. 그는 만족한 사람으로 보인다
1939,그는 음료를 주문했다,그는 목마르다,그는 음료를 주문했다. 그는 목마른 사람으로 보인다
1940,그는 착해보였다,그는 친절하다,그는 착해보였다. 그는 친절한 사람으로 보인다
1941,그는 돈을 줬다,그는 관대하다,그는 돈을 줬다. 그는 관대한 사람으로 보인다
1942,그는 한 통의 전화를 받았다,그는 궁금하다,그는 한 통의 전화를 받았다. 그는 당황한 사람으로 보인다
1943,그는 조깅을 하러 갔다,그는 건강하다,그는 조깅을 하러 갔다. 그는 건강한 사람으로 보인다
1944,그는 총을 발견했다,그는 궁금하다,그는 총을 발견했다. 그는 놀란 사람으로 보인다
1945,그는 구슬을 가지고 놀았다,그는 호기심이 많다,그는 구슬을 가지고 놀았다. 그는 아이 같은 사람으로 보인다
1946,그는 그녀의 머리를 쓰다듬었다,그는 다정하다,그는 그녀의 머리를 쓰다듬었다. 그는 다정한 사람으로 보인다
1947,그는 파티에 참석했다,그는 사교적이다,그는 파티에 참석했다. 그는 활발한 사람으로 보인다
1948,그는 버스를 타고 뉴욕으로 향했다,그는 여행을 갔다,그는 버스를 타고 뉴욕으로 향했다. 그는 여행가는 사람으로 보인다
1949,그는 절대 그럴 리가 없었다,그는 놀랍다,그는 절대 그럴 리가 없었다. 그는 신뢰할 수 있는 사람으로 보인다
1950,그는 그녀의 냄새를 맡았다,그는 짝사랑을 하고 있다,그는 그녀의 냄새를 맡았다. 그는 호기심 많은 사람으로 보인다
1951,그는 스스로를 추천했다,그는 자신감이 있다,그는 스스로를 추천했다. 그는 자신감 있는 사람으로 보인다
1952,그는 생일 선물로 강아지를 원했다,그는 사랑스럽다,그는 생일 선물로 강아지를 원했다. 그는 애완동물을 좋아하는 사람으로 보인다
1953,그는 그녀에게 총을 쐈다,그는 위험하다,그는 그녀에게 총을 쐈다. 그는 위협적인 사람으로 보인다
1954,그는 어쨌든 그것을 받아들였다,그는 태도가 융통성이 있다,그는 어쨌든 그것을 받아들였다. 그는 태평스러운 사람으로 보인다
1955,그는 바닥에 물을 엎질렀다,그는 어설프다,그는 바닥에 물을 엎질렀다. 그는 어리석은 사람으로 보인다
1956,그는 학교를 결석했다,그는 무책임하다,그는 학교를 결석했다. 그는 게으른 사람으로 보인다
1957,그는 완벽한 집을 찾았다,그는 운이 좋다,그는 완벽한 집을 찾았다. 그는 운이 좋은 사람으로 보인다
1958,그는 일찍 왔다,그는 성실하다,그는 일찍 왔다. 그는 성실한 사람으로 보인다
1959,그는 온라인에서 한 여자를 만났다,그는 사랑에 빠졌다,그는 온라인에서 한 여자를 만났다. 그는 흥분한 사람으로 보인다
1960,그는 어쨌든 그는 노력했다,그는 노력하는 사람으로 보인다,그는 어쨌든 그는 노력했다. 그는 열정적인 사람으로 보인다
1961,그에게서는 헛간 냄새가 났다,그는 시골 사람으로 보인다,그에게서는 헛간 냄새가 났다. 그는 시골 사람으로 보인다
1962,그는 누수를 해결했다,그는 능력있다,그는 누수를 해결했다. 그는 능력있는 사람으로 보인다
1963,그는 새 것이 필요했다,그는 만족스럽지 않다,그는 새 것이 필요했다. 그는 만족스러운 사람으로 보인다
1964,그는 휴대폰을 잊어버렸다,그는 부주의하다,그는 휴대폰을 잊어버렸다. 그는 어리석은 사람으로 보인다
1965,그는 자신을 홍보했다,그는 자신에 대해 자만심이 강하다,그는 자신을 홍보했다. 그는 자만심이 강한 사람으로 보인다
1966,그는 고양이를 키우고 싶어했다,그는 애완동물을 좋아하는 사람으로 보인다,그는 고양이를 키우고 싶어했다. 그는 애완동물을 좋아하는 사람으로 보인다
1967,그는 누군가를 보내었다,그는 이타적이다,그는 누군가를 보내었다. 그는 관대한 사람으로 보인다
1968,그는 시험에 떨어졌다,그는 실망스럽다,그는 시험에 떨어졌다. 그는 실망한 사람으로 보인다
1969,그는 정시에 도착했다,그는 신뢰할 만하다,그는 정시에 도착했다. 그는 신뢰할 만한 사람으로 보인다
1970,그는 열쇠를 잃어버렸다,그는 어리석다,그는 열쇠를 잃어버렸다. 그는 당황한 사람으로 보인다
1971,그는 책에 대해 자세히 설명했다,그는 지식이 풍부하다,그는 책에 대해 자세히 설명했다. 그는 지식 있는 사람으로 보인다
1972,그는 휴대폰을 분실했다,그는 부주의하다,그는 흩어진 사람으로 보인다
1973,그는 실수로 액체를 부었다,그는 어설프다,그는 실수로 액체를 부었다. 그는 어리둥절한 사람으로 보인다
1974,그는 가방을 들고 학교에 갔다,그는 학생으로 보인다,그는 가방을 들고 학교에 갔다. 그는 열심히 공부하는 사람으로 보인다
1975,그는 새 집을 구입했다,그는 행복하다,그는 새 집을 구입했다. 그는 부유한 사람으로 보인다
1976,그는 무사히 착륙했다,그는 숙련된 비행사로 보인다,그는 무사히 착륙했다. 그는 안전한 사람으로 보인다
1977,그는 좋아하는 노래를 들었다,그는 기쁘다,그는 좋아하는 노래를 들었다. 그는 행복한 사람으로 보인다
1978,그는 아이스크림을 받았다,그는 기뻐하다,그는 아이스크림을 받았다. 그는 기뻐하는 사람으로 보인다
1979,그는 책을 가져왔다,그는 지식이 많다,그는 책을 가져왔다. 그는 지적인 사람으로 보인다
1980,그는 스스로 청소했다,그는 깨끗이하다,그는 스스로 청소했다. 그는 꼼꼼한 사람으로 보인다
1981,그는 그녀를 응시했다,그는 호감이 있다,그는 그녀를 응시했다. 그는 호기심 많은 사람으로 보인다
1982,그는 새로운 친구를 만났다,그는 사교적이다,그는 즐거운 사람으로 보인다
1983,그는 친구에게 문자를 보내었다,그는 사교적이다,그는 친구에게 문자를 보내었다. 그는 소외된 사람으로 보인다
1984,그는 신용 카드를 신청했다,그는 경제적으로 불안하다,그는 신용 카드를 신청했다. 그는 경제적인 사람으로 보인다
1985,그는 경찰차를 봤다,그는 경계심이 많다,그는 경찰차를 봤다. 그는 불안한 사람으로 보인다
1986,그는 보고서를 제출했다,그는 책임감이 있다,그는 보고서를 제출했다. 그는 책임감 있는 사람으로 보인다
1987,그는 그녀에게 그것을 줬다,그는 관대하다,그는 그녀에게 그것을 줬다. 그는 관대한 사람으로 보인다
1988,그의 코가 부러졌다,그는 다치다,그의 코가 부러졌다. 그는 아픈 사람으로 보인다
1989,그는 더 잘 먹었다,그는 배고프다,그는 더 잘 먹었다. 그는 배고픈 사람으로 보인다
1990,그는 그의 말이 일리가 있었다,그는 이성적이다,그는 그의 말이 일리가 있었다. 그는 이성적인 사람으로 보인다
1991,그는 점점 추워지고 있었다,그는 춥다,그는 점점 추워지고 있었다. 그는 춥다고 느끼는 사람으로 보인다
1992,그는 독감에 걸렸다,그는 아프다,그는 독감에 걸렸다. 그는 아프는 사람으로 보인다
1993,그는 여동생에게 전화했다,그는 관심을 가지고 있다,그는 여동생에게 전화했다. 그는 배려심 있는 사람으로 보인다
1994,그는 바나나를 먹었다,그는 영양을 중요시한다,그는 바나나를 먹었다. 그는 건강한 사람으로 보인다
1995,그는 최근에 이혼했다,그는 슬프다,그는 최근에 이혼했다. 그는 슬픈 사람으로 보인다
1996,그는 신문을 받았다,그는 정보에 관심이 많다,그는 신문을 받았다. 그는 정보에 관심이 많은 사람으로 보인다
1997,그는 페이스북에서 게임을 찾았다,그는 게임을 좋아한다,그는 흥미로운 사람으로 보인다
1998,그는 연주를 시작했다,그는 예술적이다,그는 연주를 시작했다. 그는 재능 있는 사람으로 보인다
1999,그는 바로 왔다,그는 빠르다,그는 바로 왔다. 그는 빠른 사람으로 보인다
2000,그는 최근에 만났다,그는 새로운 사람이다,그는 최근에 만났다. 그는 친근한 사람으로 보인다
2001,그는 새 애완동물이 생겼다,그는 새로운 책임감이 생겼다,그는 새 애완동물이 생겼다. 그는 행복한 사람으로 보인다
2002,그는 미소를 지었다,그는 기쁘다,그는 미소를 지었다. 그는 행복한 사람으로 보인다
2003,그는 직장에서 해고당했다,그는 실망스럽다,그는 직장에서 해고당했다. 그는 좌절한 사람으로 보인다
2004,그는 그녀와 함께 놀았다,그는 즐거워 보인다,그는 그녀와 함께 놀았다. 그는 즐거운 사람으로 보인다
2005,그는 다음 날 등교했다,그는 책임감이 있다,그는 다음 날 등교했다. 그는 건강한 사람으로 보인다
2006,그는 뉴욕으로 카메라를 가져갔다,그는 여행을 좋아하는 사람으로 보인다,그는 뉴욕으로 카메라를 가져갔다. 그는 사진을 좋아하는 사람으로 보인다
2007,그는 섹터에서 차량을 발견했다,그는 근면하다,그는 섹터에서 차량을 발견했다. 그는 의심스러운 사람으로 보인다
2008,그는 제품이나 서비스를 마케팅하고 판매했다,그는 광고에 능숙하다,그는 제품이나 서비스를 마케팅하고 판매했다. 그는 사업-minded 사람으로 보인다
2009,그는 정말 화가 났다,그는 격분한 모습이다,그는 정말 화가 났다. 그는 분노한 사람으로 보인다
2010,그는 자신에 대해 이야기하고 있었다,그는 자기 중심적이다,그는 자신에 대해 이야기하고 있었다. 그는 자기중심적인 사람으로 보인다
2011,그는 경고를 받았다,그는 경솔하다,그는 경고를 받았다. 그는 경솔한 사람으로 보인다
2012,그는 좋아하는 밴드의 콘서트를 보러 갔다,그는 음악을 좋아하는 사람으로 보인다,그는 좋아하는 밴드의 콘서트를 보러 갔다. 그는 흥분한 사람으로 보인다
2013,그는 드디어 찾았다,그는 기뻐하다,그는 드디어 찾았다. 그는 안도한 사람으로 보인다
2014,그는 바닥에 맥주를 엎질렀다,그는 어설프다,그는 바닥에 맥주를 엎질렀다. 그는 어수룩한 사람으로 보인다
2015,그는 더 건강해졌다,그는 건강하다,그는 더 건강해졌다. 그는 활기찬 사람으로 보인다
2016,그는 죄를 사했다,그는 참회하는 사람으로 보인다,그는 죄를 사했다. 그는 참회하는 사람으로 보인다
2017,그는 예쁘게 생겼다,그는 매력적이다,그는 예쁘게 생겼다. 그는 매력적인 사람으로 보인다
2018,그는 쥐를 잡았다,그는 총명하다,그는 쥐를 잡았다. 그는 용감한 사람으로 보인다
2019,그는 쿠키를 먹었다,그는 식욕이 있다,그는 쿠키를 먹었다. 그는 만족한 사람으로 보인다
2020,그는 딸과 대화를 나눴다,그는 가정적이다,그는 딸과 대화를 나눴다. 그는 사랑스러운 사람으로 보인다
2021,그는 테스트 결과가 나올 때까지 기다렸다,그는 인내심이 강하다,그는 테스트 결과가 나올 때까지 기다렸다. 그는 인내심 있는 사람으로 보인다
2022,그는 그녀에게 매우 못되게 굴었다,그는 심술궂다,그는 그녀에게 매우 못되게 굴었다. 그는 무례한 사람으로 보인다
2023,그는 인터넷을 확인했다,그는 현대적이다,그는 인터넷을 확인했다. 그는 궁금한 사람으로 보인다
2024,그는 그녀에게 빚을 졌다,그는 무책임하다,그는 그녀에게 빚을 졌다. 그는 불성실한 사람으로 보인다
2025,그는 잠을 잘 자지 못했다,그는 피곤하다,그는 잠을 잘 자지 못했다. 그는 피곤한 사람으로 보인다
2026,그는 멋진 하루를 보내었다,그는 만족스럽다,그는 멋진 하루를 보내었다. 그는 행복한 사람으로 보인다
2027,그는 어젯밤에 잠이 들었다,그는 평온하다,그는 어젯밤에 잠이 들었다. 그는 피곤한 사람으로 보인다
2028,그는 경고와 함께 폭죽을 터뜨렸다,그는 무책임하다,그는 경고와 함께 폭죽을 터뜨렸다. 그는 무모한 사람으로 보인다
2029,그는 그날 밤 집으로 돌아갔다,그는 조용하고 신중한 사람으로 보인다,그는 그날 밤 집으로 돌아갔다. 그는 피곤한 사람으로 보인다
2030,그는 스스로를 질책했다,그는 자책하다,그는 스스로를 질책했다. 그는 자책하는 사람으로 보인다
2031,그는 어젯밤에 책을 다 읽었다,그는 열정적이다,그는 어젯밤에 책을 다 읽었다. 그는 열정적인 사람으로 보인다
2032,그는 참석하고 싶어 했다,그는 사교적이다,그는 참석하고 싶어 했다. 그는 사교적인 사람으로 보인다
2033,그는 덜 먹었다,그는 식욕이 없다,그는 먹을 많이 먹지 않은 사람으로 보인다
2034,그는 결국 포기했다,그는 낙심한 모습이다,그는 결국 포기했다. 그는 좌절한 사람으로 보인다
2035,그는 나무를 두드렸다,그는 근면하다,그는 나무를 두드렸다. 그는 근면한 사람으로 보인다
2036,그는 여행을 좋아했다,그는 모험적이다,그는 여행을 좋아했다. 그는 모험심이 강한 사람으로 보인다
2037,그는 학교 갈 준비를 했다,그는 교육을 중요시한다,그는 학교 갈 준비를 했다. 그는 꾸준한 사람으로 보인다
2038,그는 화난 것 같았다,그는 짜증이 나잖아,그는 화난 것 같았다. 그는 짜증 난 사람으로 보인다
2039,그는 웨이터에게 물었다,그는 호기심이 많다,그는 웨이터에게 물었다. 그는 호기심 많은 사람으로 보인다
2040,그는 개구리를 발견했다,그는 호기심이 많다,그는 개구리를 발견했다. 그는 궁금한 사람으로 보인다
2041,그는 몇 시간 동안 플레이했다,그는 게임에 몰두하는 편이다,그는 몇 시간 동안 플레이했다. 그는 게으른 사람으로 보인다
2042,그는 집에 피자를 배달했다,그는 편의를 중시한다,그는 집에 피자를 배달했다. 그는 게으른 사람으로 보인다
2043,그는 맛있었다고 했다,그는 솔직하다,그는 맛있었다고 했다. 그는 식에 귀한 사람으로 보인다
2044,그는 함께 퍼즐을 맞추고 있었다,그는 협동적이다,그는 함께 퍼즐을 맞추고 있었다. 그는 즐거운 사람으로 보인다
