,input,A,B
1954,그는 어쨌든 그것을 받아들였다,그는 타협적이고 융통성 있는 사람으로 보인다.,어쨌든 그것을 받아들였다. 그는 영리한 사람으로 보인다.
1955,그는 바닥에 물을 엎질렀다,그는 조심하지 않는 사람으로 보인다.,쓰러진
1956,그는 학교를 결석했다,부정적인 행동을 보이는 학생으로 보인다.,부정적인
1957,그는 완벽한 집을 찾았다,부유한 사람으로 보인다.,행복한
1958,그는 일찍 왔다,그는 신중하고 책임감 있는 사람으로 보인다.,성실한
1959,그는 온라인에서 한 여자를 만났다,그는 소셜 미디어나 온라인 데이팅 앱을 통해 새로운 사람을 만나는 것을 좋아하는 사람으로 보인다.,진짜
1960,그는 어쨌든 그는 노력했다,그는 노력파로 보인다.,끈질긴
1961,그에게서는 헛간 냄새가 났다,그는 농부나 축산업자로 보인다.,농부와 같은
1962,그는 누수를 해결했다,그는 문제 해결능력이 뛰어난 사람으로 보인다.,책임감 있는
1963,그는 새 것이 필요했다,그는 소비에 민감한 사람으로 보인다.,더 나은
1964,그는 휴대폰을 잊어버렸다,부주의한 사람으로 보인다.,분명히 distraught
1965,그는 자신을 홍보했다,자신감이 있고 자신의 능력을 자랑스러워하는 사람으로 보인다.,자신감 있는
1966,그는 고양이를 키우고 싶어했다,그는 애완동물을 좋아하는 사람으로 보인다.,친근한
1967,그는 누군가를 보내었다,그는 지시를 내리고 다른 사람을 대신 보내는 리더로 보인다.,신뢰할 수 있는
1968,그는 시험에 떨어졌다,그는 실패를 두려워하지 않고 계속 노력하는 사람으로 보인다.,실망한
1969,그는 정시에 도착했다,신중하고 책임감 있는 사람으로 보인다.,신뢰할 만한
1970,그는 열쇠를 잃어버렸다,그는 조금 부주의한 사람으로 보인다.,매우 분실하는
1971,그는 책에 대해 자세히 설명했다,지식이 풍부한 사람으로 보인다.,지식이 풍부한
1972,그는 휴대폰을 분실했다,그는 조금 부주의한 사람으로 보인다.,분실한(reckless)
1973,그는 실수로 액체를 부었다,부주의한 사람으로 보인다.,초보적인
1974,그는 가방을 들고 학교에 갔다,학생으로 보인다.,신중한
1975,그는 새 집을 구입했다,부유한 사람으로 보인다.,부자
1976,그는 무사히 착륙했다,그는 숙련된 비행사로 보인다.,건강한
1977,그는 좋아하는 노래를 들었다,음악을 즐기는 사람으로 보인다.,행복한
1978,그는 아이스크림을 받았다,그는 아이스크림을 받은 사람으로 보인다.,행복한
1979,그는 책을 가져왔다,독서를 즐기는 사람으로 보인다.,지식이 풍부한
1980,그는 스스로 청소했다,자기 주변을 깨끗이 관리하는 책임감 있는 사람으로 보인다.,자기 도움을 받지 않고 혼자서 청소를 한 사람으로 보인다.
1981,그는 그녀를 응시했다,그는 호기심 많은 사람으로 보인다.,참된
1982,그는 새로운 친구를 만났다,그는 사교적이고 새로운 만남을 즐기는 사람으로 보인다.,친절한
1983,그는 친구에게 문자를 보내었다,친근하고 소통을 중요시하는 사람으로 보인다.,친절한
1984,그는 신용 카드를 신청했다,그는 현대 사회에서 일상적인 소비자로 보인다.,신용 카드를 신청했다. 그는 신뢰할 만한 사람으로 보인다.
1985,그는 경찰차를 봤다,그는 범죄자로 보인다.,경찰이나 경찰관
1986,그는 보고서를 제출했다,책임감 있는 사람으로 보인다.,책임감 있는
1987,그는 그녀에게 그것을 줬다,관대하고 다른 사람을 배려하는 사람으로 보인다.,친절한
1988,그의 코가 부러졌다,폭력적인 사람으로 보인다.,부상당한
1989,그는 더 잘 먹었다,음식을 더 맛있게 먹는 사람으로 보인다.,더 건강한
1990,그는 그의 말이 일리가 있었다,그는 논리적이고 이성적인 사람으로 보인다.,지적인
1991,그는 점점 추워지고 있었다,그는 추위를 느끼는 사람으로 보인다.,차가운
1992,그는 독감에 걸렸다,그는 아픈 사람으로 보인다.,아프거나 피곤한
1993,그는 여동생에게 전화했다,그는 배려심이 있는 형으로 보인다.,친절한
1994,그는 바나나를 먹었다,그는 평범한 사람으로 보인다.,건강한
1995,그는 최근에 이혼했다,그는 혼자 있는 사람으로 보인다.,실망한
1996,그는 신문을 받았다,신문을 받은 그는 현재 어떤 사람으로 보이는지에 대한 정보가 부족하기 때문에 명확하게 판단할 수 없습니다.,신중한
1997,그는 페이스북에서 게임을 찾았다,게임을 찾는 취미를 가진 사람으로 보인다.,게임을 좋아하는
1998,그는 연주를 시작했다,음악을 사랑하는 예술적인 사람으로 보인다.,음악에 대한 열정적인
1999,그는 바로 왔다,그는 빠르게 대응하는 사람으로 보인다.,신뢰할 만한
2000,그는 최근에 만났다,그는 아직 잘 알지 못하는 사람으로 보인다.,친절한
2001,그는 새 애완동물이 생겼다,그는 동물을 사랑하는 책임감 있는 사람으로 보인다.,친근한
2002,그는 미소를 지었다,친절하고 쾌활한 사람으로 보인다.,따뜻한
2003,그는 직장에서 해고당했다,그는 어떤 일이 있더라도 더 나은 기회를 찾기 위해 노력하는 적극적인 사람으로 보인다.,실망한
2004,그는 그녀와 함께 놀았다,그는 친근하고 사교적인 사람으로 보인다.,친절한
2005,그는 다음 날 등교했다,그는 책임감 있는 학생으로 보인다.,성실한
2006,그는 뉴욕으로 카메라를 가져갔다,"여행가능한, 사진을 좋아하는 사람으로 보인다.",외국인
2007,그는 섹터에서 차량을 발견했다,그는 경찰관으로 보인다.,의심스러운
2008,그는 제품이나 서비스를 마케팅하고 판매했다,그는 비즈니스 전문가로 보입니다.,경험이 풍부한
2009,그는 정말 화가 났다,화를 내는 사람으로 보인다.,화난
2010,그는 자신에 대해 이야기하고 있었다,자기 중심적인 사람으로 보인다.,자신에 대해 이야기하고 있었다. 그는 자신감 있는 사람으로 보인다.
2011,그는 경고를 받았다,주의를 불러일으키는 사람으로 보인다.,위험한
2012,그는 좋아하는 밴드의 콘서트를 보러 갔다,그는 음악을 즐기는 사람으로 보입니다.,즐거운
2013,그는 드디어 찾았다,그는 결정적인 사람으로 보입니다.,자신을 발견한
2014,그는 바닥에 맥주를 엎질렀다,그는 어설픈 사람으로 보인다.,취한
2015,그는 더 건강해졌다,그는 더 건강한 사람으로 보인다.,더 행복한
2016,그는 죄를 사했다,죄를 인정하고 사과하는 성숙한 사람으로 보인다.,회개한
2017,그는 예쁘게 생겼다,이 사람은 외모에 관심을 가지고 세련된 모습으로 보일 수 있다.,매력적인
2018,그는 쥐를 잡았다,그는 결연한 사냥꾼으로 보인다.,용감한
2019,그는 쿠키를 먹었다,그는 먹는 것을 좋아하는 사람으로 보인다.,만족한
2020,그는 딸과 대화를 나눴다,그는 딸을 소중히 여기고 관심을 가지는 부모로 보인다.,딸과 대화를 나누는 모습으로 보인다.
2021,그는 테스트 결과가 나올 때까지 기다렸다,주의 깊고 인내심이 강한 사람으로 보인다.,신중한
2022,그는 그녀에게 매우 못되게 굴었다,그는 불쌍한 사람으로 보인다.,나쁜
2023,그는 인터넷을 확인했다,그는 현대적이고 디지털에 익숙한 사람으로 보인다.,정보를 많이 알고 있는
2024,그는 그녀에게 빚을 졌다,부채를 상환하지 않는 불량한 채무자로 보인다.,책임 있는
2025,그는 잠을 잘 자지 못했다,그는 피곤한 사람으로 보인다.,스트레스 받는
2026,그는 멋진 하루를 보내었다,그는 긍정적이고 즐거운 사람으로 보인다.,멋진
2027,그는 어젯밤에 잠이 들었다,그는 평범한 사람으로 보인다.,피곤한
2028,그는 경고와 함께 폭죽을 터뜨렸다,그는 안전을 무시하는 무책임한 사람으로 보인다.,위험한
2029,그는 그날 밤 집으로 돌아갔다,보통적인 사람으로 보인다.,차분한
2030,그는 스스로를 질책했다,자기를 돌아보고 반성하는 성숙한 사람으로 보인다.,자책하는
2031,그는 어젯밤에 책을 다 읽었다,열심히 공부하는 사람으로 보인다.,지식이 풍부한
2032,그는 참석하고 싶어 했다,그는 사교적이고 활발한 사람으로 보인다.,친절한
2033,그는 덜 먹었다,그는 식욕이 적은 사람으로 보인다.,건강한
2034,그는 결국 포기했다,그는 포기하는 사람으로 보인다.,실망한
2035,그는 나무를 두드렸다,그는 나무꾼으로 보인다.,강한
2036,그는 여행을 좋아했다,여행을 좋아하는 사람으로 보인다.,호기심 많은
2037,그는 학교 갈 준비를 했다,학생으로 보인다.,정돈된
2038,그는 화난 것 같았다,화난 사람으로 보인다.,화난 것 같았다. 그는 화를 내고 있는 사람으로 보인다.
2039,그는 웨이터에게 물었다,그는 고객으로 보입니다.,정말 친절한(really friendly)
2040,그는 개구리를 발견했다,자연을 사랑하고 호기심이 많은 사람으로 보인다.,어떤
2041,그는 몇 시간 동안 플레이했다,게임에 몰두하는 사람으로 보인다.,열심히 노력하는
2042,그는 집에 피자를 배달했다,그는 배달원으로 보인다.,배달원
2043,그는 맛있었다고 했다,음식에 대한 감성을 표현하는 사람으로 보인다.,정성스러운
2044,그는 함께 퍼즐을 맞추고 있었다,그는 협동적이고 창의적인 사람으로 보인다.,지적인
2045,그는 수업 용지를 제공했다,꼼꼼하고 친절한 사람으로 보인다.,친절한
2046,그는 집에 가는 길에 초콜릿을 살았다,그는 달콤한 것을 좋아하는 사람으로 보인다.,달콤한
2047,그는 새 책을 읽었다,지식을 쌓고 세계를 탐험하는 호기심 많은 사람으로 보인다.,지식 있는
2048,그는 제 지갑을 찾았다,그는 성실한 사람으로 보인다.,신뢰할 만한
2049,그는 가방을 챙겼다,그는 여행을 준비하는 사람으로 보인다.,신중한
2050,그는 비용을 절감했다,그는 경제적이고 현명한 사람으로 보인다.,절약적인
2051,그는 견인차를 불렀다,그는 도움이 필요한 사람으로 보인다.,강한
2052,그는 시리얼을 먹었다,그는 아침을 서둘러 먹지 못한 바쁜 사람으로 보인다.,평범한
2053,그는 울음을 그쳤다,그는 감정을 통제할 수 있는 강한 사람으로 보인다.,더욱 강한
2054,그는 길고양이 한 마리를 발견했다,그는 동물을 사랑하는 친절한 사람으로 보인다.,친절한
2055,그는 방망이를 휘둘렀다,폭력적인 사람으로 보인다.,폭력적인
2056,그는 학교에 가야 했다,부모님에게 순종하는 어린이로 보인다.,성실한
2057,그는 남자 친구를 초대했다,사교적이고 친근한 사람으로 보인다.,정말 멋진
2058,그는 자외선 차단제를 발랐다,그는 자신의 피부 건강을 중요시하는 사람으로 보인다.,건강한
2059,그는 자위했다,그는 사적인 행동을 하는 일반적인 사람으로 보입니다.,자위를 한 사람으로 보인다.
2060,그는 새 문신을 새겼다,그는 모험적이고 도전을 즐기는 사람으로 보인다.,더 멋진
2061,그는 대신 낮잠을 자고 있었다,그는 피곤한 사람으로 보인다.,피곤한
2062,그는 그것을 그녀의 엄마에게 줬다,"따로 맥락이 없으므로, 그는 관대하고 배려심 있는 사람으로 보인다.",친절한
2063,그는 드디어 돌아왔다,그는 기쁜 모습으로 보인다.,다시 웃는
2064,그는 집을 떠나 이사를 갔다,그는 새로운 시작을 원하는 사람으로 보인다.,새로운
2065,그는 그녀를 실격처리했다,그는 엄격하고 냉정한 사람으로 보인다.,그는 공정하지 못한 사람으로 보인다.
2066,그는 자고 싶어 했다,피곤한 사람으로 보인다.,지친
2067,그는 머리를 잘랐다,그는 자신의 생각에 따라 다양하게 보일 수 있습니다.,새로운
2068,그는 그 사람에게 말했다,이 사람은 대화를 시작하는 적극적이고 사교적인 사람으로 보입니다.,정말 친절한
2069,그는 동영상을 업로드했다,그는 온라인 콘텐츠 제작자로 보인다.,콘텐츠를 만드는
2070,그는 드디어 돈을 모았다,그는 노력하는 사람으로 보인다.,절약하는
2071,그는 어젯밤에 잠을 잤다,그는 평범한 사람으로 보인다.,피곤한
2072,그는 문제를 해결했다,지능적이고 문제 해결능력이 뛰어나는 사람으로 보인다.,지능적인
2073,그는 음료수를 엎질렀다,죄송합니다. 제가 그 사람이 어떤 사람으로 보이는지에 대한 판단을 내릴 수 없습니다.,쓰러진
2074,그는 총알을 맞았다,그는 용감하고 강인한 사람으로 보인다.,쓰러진
2075,그는 소 잃고 외양간을 고쳤다,그는 경솔하고 무모한 사람으로 보인다.,어리석은
2076,그는 학교를 마치고 집으로 돌아갔다,보통 학생으로 보입니다.,피곤한
2077,그는 예약을 했다,그는 조직적이고 책임감 있는 사람으로 보인다.,신뢰할 만한
2078,그는 친구들과 함께 놀았다,그는 사교적이고 친근한 사람으로 보인다.,즐거운
2079,그는 암 진단을 받았다,그는 강한 의지와 긍정적인 태도를 가진 사람으로 보인다.,"힘든(recently diagnosed with cancer, he looks like a strong person.)"
2080,그는 직불 카드를 사용했다,그는 현금을 사용하는 것보다는 편리함과 안전성을 중시하는 사람으로 보인다.,신뢰할 만한
2081,그는 아이처럼 느껴졌다,.,순수한
2082,그는 잘 맞았다,그는 스포츠 경기에서 좋은 실력을 가진 사람으로 보인다.,친절한
2083,그는 마침내 왔다,그는 기다리던 사람으로 보인다.,도움이 필요한
2084,그는 중얼거렸다,그는 혼란스러운 상황에서 당황한 사람으로 보인다.,착한
2085,그는 가족을 방문했다,가족을 소중히 여기고 관계를 중요시하는 사람으로 보인다.,따뜻한
2086,그는 친구들과 볼링을 치러 갔다,그는 사교적이고 친근한 사람으로 보인다.,즐거운
2087,그는 최근에 등록했다,그는 새로운 사람으로 보인다.,신뢰할 만한
2088,그는 운전 면허증을 갱신했다,책임감 있는 시민으로 보인다.,숙련된
2089,그는 셔츠를 구입했다,그는 소비자로 보인다.,새로운
2090,그는 엄마한테 전화했다,그는 따뜻하고 배려심 있는 사람으로 보인다.,착한
2091,그는 숨바꼭질을 했다,그는 어린이로 보인다.,어린
2092,그는 관심이 있어 보였다,이 사람은 호기심 많은 사람으로 보인다.,열정적인
2093,그는 지갑을 떨어뜨렸다,부주의한 사람으로 보인다.,쓸개
2094,그는 새 영화를 시청했다,그는 영화 팬으로 보인다.,그는 흥미로운 사람으로 보인다.
2095,그는 덩크슛을 터뜨렸다,그는 농구 선수로 보인다.,우월한
2096,그는 다음날 찾아왔다,그는 신중하고 예의 바르며 책임감 있는 사람으로 보인다.,친절한
2097,그는 숙제를 잊어버렸다,부주의한 사람으로 보인다.,매우 부주의한
2098,그는 너무 시끄럽었다,그는 예의가 없는 사람으로 보인다.,고집 센
2099,그는 곧 돌아왔다,그는 신속하고 책임감 있는 사람으로 보인다.,정신이 없는
2100,그는 운전하는 법을 배웠다,자기 주변 사람들과 안전을 생각하는 책임감 있는 사람으로 보인다.,"종합적으로 보았을 때, 그는 자신감 있는(reliable) 사람으로 보인다."
2101,그는 숙제를 돌려받았다,부지런하고 책임감 있는 학생으로 보인다.,성실한
2102,그는 엄마를 찾았다,그는 따뜻하고 사랑스러운 가족을 중요시하는 사람으로 보인다.,따뜻한
2103,그는 그냥 눈을 데굴데굴 굴렸다,무관심한 사람으로 보인다.,찡그린
2104,그는 애완동물을 키우고 싶어했다,그는 애완동물을 사랑하는 사람으로 보인다.,동물을 사랑하는
2105,그는 바이올린 연주법을 배웠다,음악적인 흥미를 가진 사람으로 보입니다.,재능 있는
2106,그는 나무 위의 집을 지었다,그는 창의적이고 능동적인 사람으로 보입니다.,숲 속에서 외로운
2107,그는 무대 위로 걸어갔다,그는 자신감 있고 주목받는 사람으로 보인다.,자신감 있는
2108,그는 불을 가지고 놀았다,그는 무책임한 사람으로 보인다.,위험한
2109,그는 정말 이상한 기분을 느꼈다,그는 혼란스러운 사람으로 보인다.,이상한
2110,그는 친구들과 수영하러 갔다,그는 활발하고 사교적인 사람으로 보인다.,수영을 즐기는
2111,그는 발언자를 공격했다,그는 공격적인 사람으로 보인다.,적대적인
2112,그는 아이스크림 트럭 소리를 들었다,그는 어린이나 아이스크림을 좋아하는 사람으로 보인다.,아이스크림을 사랑하는
2113,그는 간식을 먹었다,그는 배고픈 사람으로 보인다.,만족한
2114,그는 공을 되찾았다,그는 성실한 사람으로 보인다.,자신감 있는
2115,그는 쥐를 애완동물로 키웠다,그는 애완동물을 좋아하는 사람으로 보인다.,이상한
2116,그는 어른이 된 기분였다,.,어른된
2117,그는 그녀에게 이유를 설명했다,설명적이고 이해심 있는 사람으로 보인다.,도움을 주려고 했던
2118,그는 누군가에게 물었다,호기심이 많고 타인을 배려하는 성향을 가진 사람으로 보입니다.,정직한
2119,그는 새 신발 한 켤레를 선물받았다,그는 다정한 사람으로 보인다.,새로운신발을 신은
2120,그는 사진을 게시했다,그는 활발하고 사교적인 사람으로 보인다.,"""그는 행복한 사람으로 보인다."""
2121,그는 시리얼을 먹고 싶어했다,그는 배고픈 사람으로 보인다.,어린
2122,그는 친구들과 함께 춤을 추웠다,그는 사교적이고 즐거운 사람으로 보인다.,즐거운
2123,그는 금요일에 수학 시험이 있었다,열심히 공부하는 학생으로 보인다.,신중한
2124,그는 반지를 들고 있었다,그는 결혼한 사람으로 보인다.,부유한
2125,그는 데이트 상대에게 키스했다,그는 존중받고 싶어하는 사람으로 보인다.,로맨틱한
2126,그는 알람을 설정했다,그는 책임감 있는 사람으로 보인다.,차분한
2127,그는 케이크를 만들고 싶어 했다,그는 창의적이고 요리에 관심이 있는 사람으로 보인다.,숙련된
2128,그는 스케이트를 신었다,그는 스케이트를 신은 취미 있는 사람으로 보인다.,숙련된
2129,그는 운동을 좀 했다,그는 건강하고 활동적인 사람으로 보입니다.,건강한
2130,그는 애완 고양이가 있었다,그는 애완 동물을 좋아하는 사람으로 보인다.,따뜻한
2131,그는 괴롭힘을 당했다,그는 피해자로 보인다.,상처받은
2132,그는 동굴을 발견했다,탐험가 혹은 고고학자로 보인다.,고대의
2133,그는 체중이 약간 줄었다,그는 건강에 신경을 쓰고 있는 사람으로 보인다.,마치 다른
2134,그는 자전거 타는 법을 배웠다,그는 능동적이고 적극적인 사람으로 보입니다.,숙련된
2135,그는 그녀의 입에 신음 소리를 내었다,그는 그녀를 상대로 공격적이고 폭력적인 사람으로 보인다.,슬픈
2136,그는 부업을 하고 있었다,부지런하고 노력파인 사람으로 보인다.,성실한
2137,그는 내일 영어 시험이 있었다,열심히 공부하는 학생으로 보인다.,자신이 준비를 잘 해온 것 같아요.
2138,그는 친구에게 전화를 겄다,그는 친절하고 사교적인 사람으로 보인다.,친절한
2139,그는 고양이에게 우유를 줬다,그는 동물을 사랑하는 친절한 사람으로 보인다.,친절한
2140,그는 항상 술을 마셨다,그는 술주정뱅이로 보인다.,취한(cocktail)
2141,그는 새 상사가 생겼다,그는 새 상사에게 호의적인 사람으로 보인다.,신뢰할 만한
2142,그는 새 휴대폰을 원했다,그는 현재 휴대폰을 필요로 하는 사람으로 보인다.,신중한
2143,그는 새 드레스를 원했다,그는 자신의 외모에 신경을 많이 쓰는 사람으로 보인다.,새 드레스를 입은 것 같다. 그는 예쁜 사람으로 보인다.
2144,그는 체력이 회복되었다,그는 건강한 사람으로 보입니다.,다시 건강한
2145,그의 학기가 시작되었다,성실한 학생으로 보인다.,새로운
2146,그는 상상의 여지를 남겨두지 않았다,그는 매우 확고한 사람으로 보인다.,매우 확고한
2147,그는 야옹 소리를 들었다,그는 고양이를 좋아하는 사람으로 보인다.,고양이
2148,그는 스웨터를 구입했다,그는 옷을 사러 나간 일반적인 사람으로 보인다.,따뜻한
2149,그는 자신도 모르게 곤경에 빠졌다,그는 자신을 도와줄 필요가 있는 취약한 사람으로 보인다.,허무한
2150,그는 기프트 카드를 구매했다,소비자 혹은 선물을 위한 준비를 하는 사람으로 보인다.,소비주의적인
2151,그는 많이 다쳤다,그는 취약한 사람으로 보인다.,상처받은
2152,그는 낯빛이 녹색으로 변했다,그는 무서운 상황에 처한 사람으로 보인다.,창백한
2153,그는 탐탁지 않아하는 그녀를 설득했다,그는 설득력 있는 사람으로 보인다.,냉담한
2154,그는 프로필을 만들었다,그는 소셜 미디어에 관심이 많은 사람으로 보인다.,친절한
2155,그는 나중에 그녀와 합류했다,그는 그녀를 기다리고 있었던 친절하고 관대한 사람으로 보인다.,친절한
2156,그는 체스를 두는 법을 배웠다,그는 똑똑하고 전략적인 사람으로 보인다.,체스를 잘하는
2157,그는 머리를 새로 잘라야 했다,그는 바쁜 사람으로 보인다.,더 정갈한
2158,그는 잠드는 데 어려움을 겪었다,그는 스트레스를 받거나 불안한 상황에 처해 있는 사람으로 보입니다.,스트레스 받는
2159,그는 드레스를 갈아입었다,그는 여성으로 보인다.,예쁜
2160,그는 그녀의 뒤에서 왔다,그는 몰래 다가오는 사람으로 보인다.,그는 익숙한(reliable) 사람으로 보인다.
2161,그는 도와달라고 비명을 질렀다,도움이 필요한 취약한 사람으로 보인다.,절박한
2162,그는 트럭 뒤에서 떨어졌다,그는 교통 안전을 무시한 사람으로 보인다.,부상을 입은
2163,그는 꿈에 그리던 직장에 취직했다,그는 자신의 목표를 이루기 위해 노력하는 사람으로 보인다.,자신감 있는
2164,그는 주차장에서 쓰레기를 발견했다,환경을 중요하게 생각하는 책임감 있는 시민으로 보인다.,환경을 중요하게 생각하는
2165,그는 샌드위치를 만들고 싶어 했다,그는 배고픈 사람으로 보인다.,요리를 잘하는
2166,그는 스스로를 칭찬했다,자기 자신에 대해 자만심이 강한 사람으로 보인다.,자신을 자랑스럽게 여기는
2167,그는 몸을 말렸다,그는 수영을 하고 온 사람으로 보입니다.,마치 운동을 많이 한 것처럼 건강한
2168,그는 고양이를 입양했다,그는 동물을 사랑하는 친절한 사람으로 보인다.,친절한
2169,그는 그룹에 컴퓨터를 할당했다,그는 조직적이고 책임감 있는 사람으로 보인다.,지능이 뛰어난(Intelligent)
2170,그는 개 짖는 소리를 들었다,그는 경계심이 많고 주변에 대해 예민한 사람으로 보인다.,"""그는 사남으로 보인다."""
2171,그는 기분이 나아지고 있었다,그는 긍정적이고 희망적인 사람으로 보인다.,더 행복한
2172,그는 옛날 것을 판매했다,과거에 일어난 일을 기억하고 그에 대해 이야기하는 사람으로 보입니다.,그는 현대적인 사람으로 보인다.
2173,그는 모퉁이를 돌아 나왔다,그는 호기심 많고 탐험적인 사람으로 보인다.,어떤
2174,그는 가족을 초대했다,친절하고 사교적인 사람으로 보인다.,따뜻한
2175,그는 낯익은 얼굴였다,이 사람은 이전에 만난 적이 있는 사람으로 보인다.,익숙한
2176,그는 첫 번째 게임에서 패배했다,그는 좌절한 사람으로 보인다.,패배한 후에는 좌절한(really) 사람으로 보인다.
2177,그는 케이크를 가져왔다,친절하고 사려 깊은 사람으로 보인다.,친절한
2178,그는 멋진 여행을 보내었다,그는 모험적이고 호기심 많은 사람으로 보인다.,행복한
2179,그는 나쁜 소식이 있었다,그는 낙담한 사람으로 보인다.,낙담한
2180,그는 부주의하고 통제불능였다,부주의하고 통제불능한 사람으로 보인다.,무책임한
2181,그는 접근 금지 명령을 받았다,그는 법을 어기는 사람으로 보인다.,위험한
2182,그는 수영하는 법을 배웠다,그는 능동적이고 적극적인 사람으로 보인다.,숙련된
2183,그는 즐거운 여행을 보내었다,그는 여행을 즐기는 사람으로 보인다.,행복한
2184,그는 그림 그리는 법을 배웠다,예술가로 보인다.,창의적인
2185,그는 카약을 타러 갔다,그는 액티브하고 모험을 즐기는 사람으로 보인다.,모험적인
2186,그는 새 셔츠를 구입했다,그는 쇼핑을 좋아하는 사람으로 보인다.,새롭게 변화된
2187,그는 기분이 훨씬 좋아지기 시작했다,그는 긍정적이고 희망적인 사람으로 보인다.,더 행복한
2188,그는 샤워를 했다,깨끗하고 개인 위생에 신경을 쓰는 사람으로 보인다.,깨끗한
2189,그는 그녀에게 무언가를 줬다,친절하고 관대한 사람으로 보인다.,친절한
2190,그가 대학에 입학한 첫날였다,그는 새로운 시작을 하는 열정적인 사람으로 보인다.,신났던
2191,그는 대화를 시작했다,사교적이고 친근한 사람으로 보인다.,친근한
2192,그는 비행기를 놓쳤다,그는 조금 서툴러 보이는 사람으로 보인다.,실망한
2193,그는 나중에 자세히 설명했다,그는 책임감 있는 사람으로 보인다.,친절한
2194,그는 학교 정학을 당했다,그는 희생자로 보인다.,정직한
2195,그는 채널을 변경했다,그는 TV를 보던 사람으로 보인다.,더 행복한
2196,그는 지갑을 찾았다,"착실한, 성실한 사람으로 보인다.",성실한
2197,그는 다른 사람을 도왔다,친절하고 이타적인 사람으로 보인다.,도움을 받는
2198,그는 견인차를 불러야 했다,그는 책임감 있는 사람으로 보인다.,강력한
2199,그는 휴대폰을 구입했다,그는 소비자로 보인다.,신중한
2200,그는 콘서트를 보러 갔다,음악을 즐기는 사람으로 보인다.,콘서트를 보러 갔다. 그는 흥분한 사람으로 보인다.
2201,그는 다른 이들을 실망시키고 화나게 했다,그는 책임감이 없고 자기 중심적인 사람으로 보인다.,자기 중심적인
2202,그는 타는 냄새를 맡았다,그는 냄새에 민감한 사람으로 보인다.,타는 냄새를 맡았다. 그는 흡연하는 사람으로 보인다.
2203,그는 학교 가는 차를 놓쳤다,그는 조금 서둘러 하는 사람으로 보인다.,매우 서둘러 가는
2204,그는 누군가 문을 두드리는 소리가 들렸다,그는 호기심 많고 친절한 사람으로 보인다.,그는 낯선 사람으로 보인다.
2205,그는 학교에 가고 싶어했다,학습에 열정적인 학생으로 보입니다.,부지런한
2206,그는 아기가 생겼다,그는 부모가 된 사람으로 보인다.,아버지
2207,그는 바닥을 쓸어내렸다,그는 꼼꼼하고 세심한 사람으로 보인다.,정직한
2208,그는 집에 갈 준비가 되었다,그는 집에 가족과 함께 있는 책임감 있는 사람으로 보인다.,자신감 있는
2209,그는 제 가방을 챙겼다,그는 친절하고 도움이 필요한 사람으로 보인다.,정말 정직한
2210,그는 항공편을 예약했다,그는 여행을 좋아하는 사람으로 보인다.,신중한
2211,그는 트럭을 타고 식료품 쇼핑을 하러 갔다,그는 일반적인 소비자로 보인다.,힘센
2212,그는 직장에서 승진을 하게 되었다,그는 열심히 일하고 자신의 업무를 잘 처리하는 사람으로 보인다.,자신감이 있는
2213,그는 제 개를 산책시켰다,그는 책임감 있는 동물을 사랑하는 사람으로 보인다.,정말 친절한(person)
2214,그는 누군가를 때렸다,폭력적인 사람으로 보인다.,분노한
2215,그는 상대적으로 창백했다,그는 걱정스러운 사람으로 보인다.,아픈
2216,그는 곧 이사했다,그는 이사를 한 사람으로 보인다.,새로운
2217,그는 달을 따달라고 요구했다,그는 이성적이지 않고 현실과 상관없는 요구를 하는 사람으로 보인다.,위대한
2218,그는 두 자녀가 있었다,가정적이고 책임감 있는 부모로 보인다.,부모님
2219,그는 안경을 잃어버렸다,그는 조금 어지러워 보이는 사람으로 보인다.,보다 어리석은
2220,그는 자동차 키를 찾았다,그는 차주나 운전자로 보입니다.,신중한
2221,그는 그녀라는 절친한 친구가 있었다,그는 친절하고 사교적인 사람으로 보인다.,그는 친절한 사람으로 보인다.
2222,그는 목적지에 도착했다,그는 목적을 이룬 사람으로 보인다.,자신감 있는
2223,그는 달에 깃발을 세웠다,그는 우주 비행사로 보인다.,우주 비행사
2224,그의 집에서 파티가 열렸다,그는 사교적이고 친화력이 있는 사람으로 보인다.,친근한
2225,그는 새 안경을 구입했다,그는 새로운 모습으로 변화하는 사람으로 보인다.,새로운
2226,그는 아기를 입양했다,자비로운 사람으로 보인다.,좋은
2227,그는 어느 날 집으로 걸어갔다,일상적인 사람으로 보입니다.,참된
2228,그는 잠시 휴식을 취했다,그는 피곤한 사람으로 보인다.,피곤한
2229,그는 그만두고 싶다고 했다,그는 피곤하고 지친 사람으로 보인다.,그는 지친 사람으로 보인다.
2230,그는 문신을 새겼다,그는 대담하고 독립적인 사람으로 보인다.,멋진
2231,그는 제 머리를 잘랐다,그는 자신의 행동에 대한 책임을 지는 사람으로 보입니다.,이젠 깔끔한
2232,그는 약속을 놓쳤다,부주의한 사람으로 보인다.,부주의한
2233,그는 깜짝 선물을 받았다,그는 감사한 사람으로 보인다.,감동을 받은
2234,그는 정말 재미있었다,그는 즐거운 사람으로 보인다.,친근한
2235,그는 초등학교 교사였다,그는 책임감 있고 교육에 대한 열정을 가진 사람으로 보인다.,따뜻한
